,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K
orbital_period_days,1.0,0.4967153554307246,-0.056627172313868226,0.004806937390312961,-0.05202688034118251,-0.002148639228920313,-0.0006843972495147371,-0.00780203425010739
transit_duration_hours,0.4967153554307246,1.0,-0.0476950349189124,0.018343974013999457,-0.1930776682051943,-0.012745355168327342,0.0147879533285966,0.029875428296439622
transit_depth_ppm,-0.056627172313868226,-0.0476950349189124,1.0,0.0043649668520176306,0.03763382537593561,-0.003614180006160333,-0.01037315980739888,0.0308429870237065
planet_radius_earth,0.004806937390312961,0.018343974013999457,0.0043649668520176306,1.0,-0.0033762922930177168,0.0034614299474087576,0.05576184629860956,-0.0028753916175522747
equilibrium_temperature_K,-0.05202688034118251,-0.1930776682051943,0.03763382537593561,-0.0033762922930177168,1.0,0.35646545268937724,0.36919005619947887,0.36128456787346996
insolation_flux_Earth,-0.002148639228920313,-0.012745355168327342,-0.003614180006160333,0.0034614299474087576,0.35646545268937724,1.0,0.5177795651546432,-0.012489219037721577
stellar_radius_solar,-0.0006843972495147371,0.0147879533285966,-0.01037315980739888,0.05576184629860956,0.36919005619947887,0.5177795651546432,1.0,0.01415968109713522
stellar_temperature_K,-0.00780203425010739,0.029875428296439622,0.0308429870237065,-0.0028753916175522747,0.36128456787346996,-0.012489219037721577,0.01415968109713522,1.0
