feature,importance
transit_depth_ppm,2169
transit_duration_hours,2140
orbital_period_days,2049
planet_radius_earth,2018
stellar_radius_solar,1941
equilibrium_temperature_K,1814
stellar_temperature_K,1763
insolation_flux_Earth,1706
